LGA_CODE24,LGA_NAME24,ERP_2023,ERP_2024
53360,Exmouth,3468,3566
53430,Fremantle,35195,36349
53570,Gingin,6070,6348
53640,Gnowangerup,1270,1271
53710,Goomalling,987,992
53780,Gosnells,137493,141279
53800,Greater Geraldton,41930,42322
53920,Halls Creek,4136,4213
53990,Harvey,30802,31495
54060,Irwin,3842,3864
54130,Jerramungup,1214,1217
54170,Joondalup,169788,173469
54200,Kalamunda,62705,63827
54280,Kalgoorlie-Boulder,30795,30991
54310,Karratha,24252,24716
54340,Katanning,4292,4294
54410,Kellerberrin,1166,1159
54480,Kent,524,526
54550,Kojonup,1969,1965
54620,Kondinin,858,862
54690,Koorda,371,373
54760,Kulin,794,800
54830,Kwinana,52139,54672
54900,Lake Grace,1303,1319
54970,Laverton,1440,1444
55040,Leonora,1733,1737
55110,Mandurah,99322,102922
55180,Manjimup,9442,9523
55250,Meekatharra,1296,1286
55320,Melville,110541,113404
55390,Menzies,575,577
55460,Merredin,3270,3335
55530,Mingenew,417,421
55600,Moora,2395,2432
55670,Morawa,679,686
55740,Mosman Park,10052,10281
55810,Mount Magnet,701,696
55880,Mount Marshall,461,466
55950,Mukinbudin,600,603
56090,Mundaring,41436,42327
56160,Murchison,106,105
56230,Murray,19829,20563
56300,Nannup,1632,1675
56370,Narembeen,833,848
56460,Narrogin,4985,5029
56580,Nedlands,24187,25104
56620,Ngaanyatjarraku,1479,1482
56730,Northam,12197,12416
56790,Northampton,3371,3382
56860,Nungarin,256,258
56930,Peppermint Grove,1739,1782
57000,Perenjori,649,659
57080,Perth,32997,34624
57140,Pingelly,1084,1091
57210,Plantagenet,5669,5734
57280,Port Hedland,17256,17448
57350,Quairading,973,967
57420,Ravensthorpe,2278,2280
57490,Rockingham,148911,154132
57630,Sandstone,116,115
57700,Serpentine-Jarrahdale,36754,38631
57770,Shark Bay,1130,1164
57840,South Perth,46777,47909
57910,Stirling,244155,249872
57980,Subiaco,18913,19452
58050,Swan,171697,179207
58190,Tammin,404,401
58260,Three Springs,593,600
58330,Toodyay,4954,5081
58400,Trayning,303,306
58470,Upper Gascoyne,201,201
58510,Victoria Park,40858,42352
58540,Victoria Plains,824,834
58570,Vincent,40193,41479
58610,Wagin,1816,1825
58680,Wandering,545,547
58760,Wanneroo,229602,237628
58820,Waroona,4457,4537
58890,West Arthur,787,789
59030,Westonia,244,246
59100,Wickepin,701,710
59170,Williams,1060,1063
59250,Wiluna,568,563
59310,Wongan-Ballidu,1336,1343
59320,Woodanilling,479,490
59330,Wyalkatchem,491,492
59340,Wyndham-East Kimberley,8214,8315
59350,Yalgoo,357,353
59360,Yilgarn,1199,1212
59370,York,3602,3649
51710,Christmas Island,1827,1865
51860,Cocos Islands,629,625
60210,Break O`Day,7079,7163
60410,Brighton,20012,20284
60610,Burnie,20479,20417
60810,Central Coast (Tas.),23341,23350
61010,Central Highlands (Tas.),2596,2588
61210,Circular Head,8360,8315
61410,Clarence,63720,63973
61510,Derwent Valley,11347,11436
61610,Devonport,26998,27030
61810,Dorset,7006,7013
62010,Flinders (Tas.),933,941
62210,George Town,7335,7378
62410,Glamorgan-Spring Bay,5240,5283
62610,Glenorchy,50868,50743
62810,Hobart,56107,55977
63010,Huon Valley,19470,19742
63210,Kentish,6835,6859
63410,King Island,1649,1660
63610,Kingborough,41219,41574
63810,Latrobe (Tas.),13070,13158
64010,Launceston,71877,71616
64210,Meander Valley,21465,21579
64610,Northern Midlands,14289,14428
64810,Sorell,17649,17919
65010,Southern Midlands,6915,6973
65210,Tasman,2687,2722
65410,Waratah-Wynyard,14774,14905
65610,West Coast,4361,4339
65810,West Tamar,26057,26131
70200,Alice Springs,29300,29693
70420,Barkly,7248,7288
70540,Belyuen,166,167
70620,Central Desert,4127,4128
70700,Coomalie,1422,1410
71000,Darwin,85781,86070
71150,Darwin Waterfront Precinct,285,309
71300,East Arnhem,10015,10040
72200,Katherine,10841,10857
72300,Litchfield,23431,23940
72330,MacDonnell,6713,6769
72800,Palmerston,41165,41598
73600,Roper Gulf,7497,7516
74050,Tiwi Islands,2748,2744
74550,Victoria Daly,3298,3307
74560,Wagait,465,481
74660,West Arnhem,7410,7467
74680,West Daly,3427,3448
79399,Unincorporated NT,7723,7837
